,ADDR,bun,ji,region_cd,소방청 / 화재·구조·구급 통계시스템,OCRN_YMD,DAM_AMT,DCSD_CNT,OCRN_MM,CSTS_CNT,YMAP_CRTS,ROAD_NM_ADDR,RSN_,XMAP_CRTS,SN,GEOM,INJPSN_CNT
26,부산광역시 서구 서대신동3가 704-130,704,130,2614000000,2016.0,3.0,5000,0,5.0,0,4179010.96,부산광역시 서구 시약로17번가길 10,주택 축대붕괴,14361150.62,449,POINT(14361150.6206 4179010.9594999999),0
27,서울특별시 마포구 용강동 51-3,51,3,1144010500,2015.0,22.0,20000,1,5.0,0,4514573.062,서울특별시 마포구 토정로 316,건축물 4층 철거작업 중 3층 바닥 붕괴,14131285.0,421,POINT(14131285.000299999 4514573.0620999997),1
28,서울특별시 송파구 거여동 14,14,,1171011300,2016.0,17.0,0,0,4.0,0,4508418.234,서울특별시 송파구 오금로53길 9,우천에 따른 우수,14153319.02,447,POINT(14153319.023700001 4508418.2337999996),0
29,서울특별시 송파구 마천동 311-3,311,3,1171011400,2015.0,8.0,0,0,1.0,0,4508065.324,,건물 노후화,14154808.19,404,POINT(14154808.192299999 4508065.3234999999),0
30,서울특별시 송파구 잠실동 209-10,209,10,1171010100,2015.0,30.0,0,0,4.0,0,4510155.939,서울특별시 송파구 석촌호수로 98,불명,14147337.6,417,POINT(14147337.604800001 4510155.9390000002),0
31,서울특별시 양천구 신월동 1063-3 소공원,,,1147010300,2016.0,16.0,0,0,5.0,0,4511507.918,,빗물침투로 인한 지반약화,14120687.39,452,POINT(14120687.3913 4511507.9183999998),0
32,서울특별시 은평구 갈현동 300-104,300,104,1138010400,2015.0,15.0,2000,0,3.0,0,4526926.439,,담장 붕괴,14127943.4,409,POINT(14127943.4015 4526926.4393999996),0
33,서울특별시 은평구 갈현동 9-21,9,21,1138010400,2015.0,27.0,0,0,3.0,0,4526698.265,,담장붕괴,14128249.28,413,POINT(14128249.2837 4526698.2647000002),0
34,서울특별시 은평구 응암동 39-200,39,200,1138010700,2015.0,17.0,2000,0,2.0,0,4522665.289,,축대 붕괴,14129937.96,407,POINT(14129937.959000001 4522665.2887000004),0
35,울산광역시 동구 방어동 1328,1328,,3117010100,2020.0,7.0,0,0,8.0,0,4232884.075,울산광역시 동구 방어진순환도로 100,폭우로 인한 법면 유실,14404927.23,575,POINT(14404927.232999999 4232884.0749000004),0
36,"울산광역시 울주군 두동면 구미리 산214-15, 299 일원",,,3171036022,2015.0,11.0,0,0,5.0,0,4253700.361,,폭우 인한 석축 붕괴,14383998.15,418,POINT(14383998.152100001 4253700.3613),0
37,울산광역시 울주군 범서읍 중리 211,211,,3171025928,2015.0,,0,0,7.0,0,4249057.366,,폭우 인한 석축 붕괴,14385289.11,427,POINT(14385289.113299999 4249057.3661000002),0
38,울산광역시 울주군 상북면 거리 1024-1,1024,1,3171038029,2012.0,17.0,0,0,9.0,0,4244377.527,,폭우 인한 농로매몰,14367512.32,179,POINT(14367512.3177 4244377.5270999996),0
39,울산광역시 울주군 상북면 거리 1100,1100,,3171038029,2012.0,17.0,0,0,9.0,0,4244229.608,,폭우 인한 하천제방유실,14366991.98,162,POINT(14366991.9769 4244229.6078000003),0
40,울산광역시 울주군 상북면 거리 1104-5,1104,5,3171038029,2012.0,17.0,0,0,9.0,0,4244069.384,,폭우 인한 용수로 매몰,14366891.87,159,POINT(14366891.8683 4244069.3842000002),0
41,울산광역시 울주군 상북면 거리 1121-1,1121,1,3171038029,2012.0,17.0,0,0,9.0,0,4243738.452,,폭우 인한 상수도관로파손,14366039.14,157,POINT(14366039.1357 4243738.4519999996),0
42,울산광역시 울주군 상북면 길천리 451-3,451,3,3171038024,2012.0,17.0,0,0,9.0,0,4243426.828,,폭우 인한 구거제방유실,14370115.84,163,POINT(14370115.836200001 4243426.8284),0
43,울산광역시 울주군 상북면 길천리 896,896,,3171038024,2012.0,17.0,0,0,9.0,0,4243306.444,,폭우 인한 농로세굴,14369258.16,149,POINT(14369258.162 4243306.4437999995),0
44,울산광역시 울주군 상북면 덕현리 810-2,810,2,3171038026,2012.0,17.0,0,0,9.0,0,4248011.721,,폭우 인한 하천제방유실,14365342.86,160,POINT(14365342.8562 4248011.7213000003),0
45,울산광역시 울주군 상북면 등억알프스리 477,477,,3171038034,2012.0,17.0,0,0,9.0,0,4239751.433,,폭우 인한 하천제방유실,14368766.0,195,POINT(14368765.9968 4239751.4332999997),0
46,울산광역시 울주군 상북면 등억알프스리 549-5,549,5,3171038034,2012.0,17.0,0,0,9.0,0,4240024.093,,폭우 인한 하천제방유실,14368117.18,186,POINT(14368117.182800001 4240024.0926999999),0
47,울산광역시 울주군 상북면 등억알프스리 572-2,572,2,3171038034,2012.0,17.0,0,0,9.0,0,4240169.262,,폭우 인한 하천제방유실,14367712.17,150,POINT(14367712.1733 4240169.2622999996),0
48,울산광역시 울주군 상북면 등억알프스리 701,701,,3171038034,2012.0,17.0,0,0,9.0,0,4239609.543,,폭우 인한 하천제방유실,14369224.07,171,POINT(14369224.074100001 4239609.5432000002),0
49,울산광역시 울주군 상북면 명촌리 10-2,10,2,3171038027,2012.0,17.0,0,0,9.0,0,4242081.208,,폭우 인한 농로유실,14370430.21,178,POINT(14370430.2075 4242081.2077000001),0
50,울산광역시 울주군 상북면 명촌리 162-4,162,4,3171038027,2012.0,17.0,0,0,9.0,0,4241777.914,,폭우 인한 구거제방유실,14370194.94,147,POINT(14370194.937899999 4241777.9139999999),0
51,울산광역시 울주군 상북면 명촌리 42,42,,3171038027,2012.0,17.0,0,0,9.0,0,4242068.239,,폭우 인한 구거제방유실,14370136.25,176,POINT(14370136.2457 4242068.2386999996),0
52,울산광역시 울주군 상북면 명촌리 499-1,499,1,3171038027,2012.0,17.0,0,0,9.0,0,4241565.92,,폭우 인한 농로세굴,14370073.58,194,POINT(14370073.578 4241565.9203000003),0
53,울산광역시 울주군 상북면 명촌리 5,5,,3171038027,2012.0,17.0,0,0,9.0,0,4242210.588,,폭우 인한 농로제방붕괴,14370585.68,190,POINT(14370585.683499999 4242210.5883999998),0
54,울산광역시 울주군 상북면 산전리 233,233,,3171038023,2012.0,17.0,0,0,9.0,0,4244816.013,,폭우 인한 농로세굴,14371234.27,168,POINT(14371234.271299999 4244816.0125000002),0
55,울산광역시 울주군 상북면 산전리 342-3,342,3,3171038023,2012.0,17.0,0,0,9.0,0,4244451.038,,폭우 인한 하천제방붕괴,14370973.54,181,POINT(14370973.5414 4244451.0379999997),0
56,울산광역시 울주군 상북면 산전리 343-1,343,1,3171038023,2012.0,17.0,0,0,9.0,0,4244403.692,,폭우 인한 농로세굴,14370972.54,153,POINT(14370972.5371 4244403.6920999996),0
57,울산광역시 울주군 상북면 산전리 50-14,50,14,3171038023,2012.0,17.0,0,0,9.0,0,4246168.558,,폭우 인한 저수지제방붕괴,14370889.61,184,POINT(14370889.6139 4246168.5580000002),0
58,울산광역시 울주군 상북면 산전리 775,775,,3171038023,2012.0,17.0,0,0,9.0,0,4245573.331,,폭우 인한 농로세굴,14370062.46,188,POINT(14370062.4596 4245573.3312999997),0
59,울산광역시 울주군 상북면 소호리 530-1,530,1,3171038033,2012.0,17.0,0,0,9.0,0,4254826.813,,폭우 인한 하천제방유실,14370262.69,167,POINT(14370262.6876 4254826.8130999999),0
60,울산광역시 울주군 상북면 소호리 563-2,563,2,3171038033,2012.0,17.0,0,0,9.0,0,4254485.538,,폭우 인한 농로붕괴유실,14370701.9,165,POINT(14370701.895199999 4254485.5379999997),0
61,울산광역시 울주군 상북면 양등리 473-1,473,1,3171038022,2012.0,17.0,0,0,9.0,0,4245964.835,,폭우 인한 하천제방유실,14367751.35,161,POINT(14367751.3465 4245964.8354000002),0
62,울산광역시 울주군 상북면 이천리 109-3,109,3,3171038025,2012.0,17.0,0,0,9.0,0,4240919.932,,폭우 인한 도로법면유실,14362581.46,156,POINT(14362581.455499999 4240919.932),0
63,울산광역시 울주군 상북면 이천리 114-3,114,3,3171038025,2012.0,17.0,0,0,9.0,0,4241131.688,,폭우 인한 하천제방유실,14362167.38,193,POINT(14362167.3816 4241131.6876999997),0
64,울산광역시 울주군 상북면 이천리 128,128,,3171038025,2012.0,17.0,0,0,9.0,0,4241468.712,,폭우 인한 하천잠수교유실,14362447.73,182,POINT(14362447.7315 4241468.7121000001),0
65,울산광역시 울주군 상북면 이천리 139,139,,3171038025,2012.0,17.0,0,0,9.0,0,4241733.094,,폭우 인한 하천제방유실,14362566.12,192,POINT(14362566.120300001 4241733.0943999998),0
66,울산광역시 울주군 상북면 이천리 142,142,,3171038025,2012.0,17.0,0,0,9.0,0,4241840.074,,폭우 인한 하천제방유실,14362644.95,145,POINT(14362644.9529 4241840.0735999998),0
67,울산광역시 울주군 상북면 이천리 144-25,144,25,3171038025,2012.0,17.0,0,0,9.0,0,4241995.591,,폭우 인한 도로법면유실,14362956.2,187,POINT(14362956.199899999 4241995.5914000003),0
68,울산광역시 울주군 상북면 이천리 186,186,,3171038025,2012.0,17.0,0,0,9.0,0,4241184.581,,폭우 인한 농로제방세굴,14361802.11,169,POINT(14361802.1119 4241184.5805000002),0
69,울산광역시 울주군 상북면 이천리 233,233,,3171038025,2012.0,17.0,0,0,9.0,0,4241190.56,,폭우 인한 하천제방유실,14362087.06,185,POINT(14362087.0626 4241190.5602000002),0
70,울산광역시 울주군 상북면 이천리 310,310,,3171038025,2012.0,17.0,0,0,9.0,0,4238367.362,,폭우 인한 하천제방유실,14361465.4,189,POINT(14361465.402799999 4238367.3618000001),0
71,울산광역시 울주군 상북면 이천리 337,337,,3171038025,2012.0,17.0,0,0,9.0,0,4238235.022,,폭우 인한 하천제방유실,14361522.12,173,POINT(14361522.1183 4238235.0217000004),0
72,울산광역시 울주군 상북면 이천리 36,36,,3171038025,2012.0,17.0,0,0,9.0,0,4240424.951,,폭우 인한 축대붕괴,14363047.66,191,POINT(14363047.6588 4240424.9513999997),0
73,울산광역시 울주군 상북면 이천리 539-2,539,2,3171038025,2012.0,17.0,0,0,9.0,0,4237530.091,,폭우 인한 하천잠수교유실,14361630.52,196,POINT(14361630.5189 4237530.0909000002),0
74,울산광역시 울주군 상북면 이천리 568,568,,3171038025,2012.0,17.0,0,0,9.0,0,4237220.853,,폭우 인한 하천제방유실,14361561.39,172,POINT(14361561.394099999 4237220.8528000005),0
75,울산광역시 울주군 상북면 이천리 60,60,,3171038025,2012.0,17.0,0,0,9.0,0,4239957.482,,폭우 인한 하천제방유실,14362372.74,146,POINT(14362372.7434 4239957.4817000004),0
76,울산광역시 울주군 상북면 이천리 63,63,,3171038025,2012.0,17.0,0,0,9.0,0,4240094.581,,폭우 인한 하천제방유실,14362469.33,183,POINT(14362469.3298 4240094.5805000002),0
77,울산광역시 울주군 상북면 이천리 729-1,729,1,3171038025,2012.0,17.0,0,0,9.0,0,4235922.457,,폭우 인한 교량파손,14361327.86,180,POINT(14361327.8641 4235922.4568999996),0
78,울산광역시 울주군 상북면 이천리 738-1,738,1,3171038025,2012.0,17.0,0,0,9.0,0,4235410.24,,폭우 인한 하천제방유실,14361253.66,164,POINT(14361253.657400001 4235410.2400000002),0
79,울산광역시 울주군 상북면 이천리 804,804,,3171038025,2014.0,4.0,0,0,8.0,0,4242088.86,,폭우 인한 하천제방유실,14362708.97,287,POINT(14362708.974400001 4242088.8598999996),0
80,울산광역시 울주군 상북면 이천리 829,829,,3171038025,2014.0,4.0,0,0,8.0,0,4237299.505,,폭우 인한 하천제방유실,14361573.3,288,POINT(14361573.302100001 4237299.5044999998),0
81,울산광역시 울주군 상북면 이천리 832-4,832,4,3171038025,2012.0,17.0,0,0,9.0,0,4237311.697,,폭우 인한 구거제방유실,14361531.82,174,POINT(14361531.8226 4237311.6966000004),0
82,울산광역시 울주군 상북면 이천리 837,837,,3171038025,2012.0,17.0,0,0,9.0,0,4236989.216,,폭우 인한 구거제방유실,14361531.65,154,POINT(14361531.6494 4236989.2159000002),0
83,울산광역시 울주군 상북면 이천리 96,96,,3171038025,2012.0,17.0,0,0,9.0,0,4240562.641,,폭우 인한 구거제방유실,14362685.62,158,POINT(14362685.624 4240562.6409999998),0
84,울산광역시 울주군 상북면 지내리 630-2,630,2,3171038021,2012.0,17.0,0,0,9.0,0,4243850.871,,폭우 인한 농로유실,14372247.25,175,POINT(14372247.2502 4243850.8713999996),0
85,울산광역시 울주군 상북면 지내리 755-1,755,1,3171038021,2012.0,17.0,0,0,9.0,0,4244654.633,,폭우 인한 건축물파손,14372065.73,151,POINT(14372065.7279 4244654.6327999998),0
86,울산광역시 울주군 상북면 향산리 161-2,161,2,3171038032,2012.0,17.0,0,0,9.0,0,4242493.348,,폭우 인한 농로세굴,14371940.32,155,POINT(14371940.323799999 4242493.3482999997),0
87,울산광역시 울주군 온산읍 처용리 산26-1,26,1,3171025026,2014.0,18.0,0,0,8.0,0,4227390.928,,집중호우 인한 산사태,14397130.56,297,POINT(14397130.562200001 4227390.9282),0
88,울산광역시 울주군 웅촌면 곡천리 630-1,630,1,3171034023,2014.0,18.0,0,0,8.0,0,4226861.979,,폭우 인한 산사태,14382952.86,292,POINT(14382952.8564 4226861.9793999996),0
89,울산광역시 중구 남외동 325-1 인근,,,3111011500,2015.0,21.0,0,0,3.0,0,4241601.676,,인근 신축빌라 건물 터파기 공사 중 건물 균열 및 담벼락 일부 붕괴,14398570.34,412,POINT(14398570.343 4241601.6755999997),0
90,울산광역시 중구 동동 116-14,116,14,3111011300,2014.0,18.0,0,0,8.0,0,4242540.192,,집중호우로 인해 약해진 지반이 붕괴되어 가옥으로 토사 유입,14398990.4,295,POINT(14398990.397500001 4242540.1918000001),0
91,울산광역시 중구 서동 193,193,,3111011400,2015.0,25.0,0,0,8.0,0,4242410.705,,태풍으로 인해 나무가 쓰러져 사당 담벼락 붕괴,14398629.8,434,POINT(14398629.7984 4242410.7046999997),0
92,인천광역시 부평구 부평동 760-427,760,427,2823710100,2016.0,17.0,0,0,2.0,0,4510012.102,인천광역시 부평구 동수북로 76-2,공가 담장 붕괴사고발생,14106591.55,441,POINT(14106591.554199999 4510012.1014999999),0
93,인천광역시 부평구 산곡동 87-876,87,876,2823710300,2016.0,20.0,0,0,3.0,0,4509718.258,인천광역시 부평구 원적로301번길 7,담장 노후로 인한 붕괴,14104164.34,445,POINT(14104164.3441 4509718.2582),0
94,인천광역시 중구 도원동 71-65번지,71,65,2811013200,2016.0,13.0,0,0,5.0,0,4504505.566,,"(빈집)건물 노후화로 인한
 외벽 일부 붕괴",14097357.5,451,POINT(14097357.497300001 4504505.5657000002),0
95,인천광역시 중구 연안부두로 139,139,,2811000000,2020.0,13.0,0,0,5.0,0,4501691.833,인천광역시 중구 항동7가 70-26,노후화(추정)로 인한 내부천장붕괴,14092832.91,597,POINT(14092832.910499999 4501691.8329999996),0
96,전라남도 여수시 소라면 죽림리 1096,1096,,4613031022,2020.0,30.0,0,0,7.0,0,4132684.644,,폭우로 인한 법면 유실,14208579.1,552,POINT(14208579.1011 4132684.6441000002),0
97,전라남도 여수시 시전동 946-3,946,3,4613013200,2020.0,30.0,0,0,7.0,0,4129934.657,,폭우로 인한 법면 유실,14211471.18,553,POINT(14211471.180500001 4129934.6571999998),0
98,전라남도 여수시 오림동 147-2,147,2,4613012100,2020.0,30.0,0,0,7.0,0,4131792.588,,폭우로 인한 법면 유실,14218058.71,554,POINT(14218058.7093 4131792.588),0
99,전라남도 여수시 웅천동 1645,1645,,4613013400,2020.0,30.0,0,0,7.0,0,4130236.942,,폭우로 인한 법면 유실,14212618.6,555,POINT(14212618.602499999 4130236.9416999999),0
100,전라남도 여수시 웅천동 541-1,541,1,4613013400,2020.0,30.0,0,0,7.0,0,4130288.945,,폭우로 인한 법면 유실,14213146.2,549,POINT(14213146.2041 4130288.9445000002),0
101,전라남도 여수시 웅천동 541-1,541,1,4613013400,2019.0,20.0,0,0,7.0,0,4130288.945,,폭우로 인한 법면 유실,14213146.2,523,POINT(14213146.2041 4130288.9445000002),0
102,전라남도 여수시 웅천동 산14-3,14,3,4613013400,2020.0,30.0,0,0,7.0,0,4130202.699,,폭우로 인한 법면 유실,14211922.85,550,POINT(14211922.845899999 4130202.6987999999),0
103,전라남도 장흥군 안양면 비동리 81-3,81,3,4680032022,2020.0,10.0,7616,0,8.0,0,4120248.925,전라남도 장흥군 안양면 로하스로 157,폭우로 인한 법면 유실,14133233.44,580,POINT(14133233.437899999 4120248.9249),0
104,전라남도 장흥군 장흥읍 금산리 산47-2,47,2,4680025040,2020.0,12.0,14707,0,8.0,0,4123252.0,,폭우로 인한 법면 유실,14132034.73,586,POINT(14132034.7335 4123252.0003999998),0
105,전북특별자치도 군산시 해망동 산 5-43,5,43,5213010100,2016.0,7.0,4000,0,5.0,0,4298831.226,,비탈면 연약화에 의한 붕괴,14103675.43,450,POINT(14103675.4289 4298831.2262000004),0
106,전북특별자치도 남원시 주천면 호경리 산40번지 일원,,,5219031028,2016.0,22.0,4000,0,2.0,0,4215900.748,,해빙기 낙석 발생,14190237.42,443,POINT(14190237.4224 4215900.7474999996),0
107,전북특별자치도 익산시 웅포면 입점리 산 165-5,165,5,5214034021,2016.0,17.0,0,0,4.0,0,4306801.537,,낙석,14123281.62,446,POINT(14123281.6176 4306801.5368999997),0
108,제주특별자치도 서귀포시 안덕면 사계리 3693번지일원,3693,,5013031025,2015.0,25.0,1000,0,6.0,0,3926876.349,,호우시 낙석발생,14061143.25,424,POINT(14061143.2498 3926876.3491000002),0
109,제주특별자치도 서귀포시 안덕면 사계리 3693번지일원,3693,,5013031025,2015.0,28.0,1000,0,6.0,0,3926876.349,,호우시 낙석발생,14061143.25,425,POINT(14061143.2498 3926876.3491000002),0
110,제주특별자치도 서귀포시 안덕면 사계리 3693번지일원,3693,,5013031025,2014.0,25.0,1000,0,11.0,0,3926876.349,,호우시 낙석발생,14061143.25,401,POINT(14061143.2498 3926876.3491000002),0
111,제주특별자치도 서귀포시 안덕면 사계리 3693번지일원,3693,,5013031025,2014.0,27.0,1000,0,11.0,0,3926876.349,,호우시 낙석발생,14061143.25,402,POINT(14061143.2498 3926876.3491000002),0
112,제주특별자치도 서귀포시 안덕면 사계리 3693번지일원,3693,,5013031025,2014.0,25.0,1000,0,5.0,0,3926876.349,,호우시 낙석발생,14061143.25,280,POINT(14061143.2498 3926876.3491000002),0
113,제주특별자치도 서귀포시 안덕면 사계리 3693번지일원,3693,,5013031025,2014.0,9.0,1000,0,7.0,0,3926876.349,,호우시 낙석발생,14061143.25,282,POINT(14061143.2498 3926876.3491000002),0
114,제주특별자치도 서귀포시 안덕면 사계리 3693번지일원,3693,,5013031025,2014.0,16.0,1000,0,7.0,0,3926876.349,,호우시 낙석발생,14061143.25,283,POINT(14061143.2498 3926876.3491000002),0
115,제주특별자치도 서귀포시 안덕면 사계리 3693번지일원,3693,,5013031025,2015.0,25.0,1000,0,6.0,0,3926876.349,,호우시 낙석발생,14061143.25,424,POINT(14061143.2498 3926876.3491000002),0
116,제주특별자치도 서귀포시 안덕면 사계리 3693번지일원,3693,,5013031025,2015.0,28.0,1000,0,6.0,0,3926876.349,,호우시 낙석발생,14061143.25,425,POINT(14061143.2498 3926876.3491000002),0
117,제주특별자치도 서귀포시 안덕면 사계리 3693번지일원,3693,,5013031025,2014.0,25.0,1000,0,11.0,0,3926876.349,,호우시 낙석발생,14061143.25,401,POINT(14061143.2498 3926876.3491000002),0
118,제주특별자치도 서귀포시 안덕면 사계리 3693번지일원,3693,,5013031025,2014.0,27.0,1000,0,11.0,0,3926876.349,,호우시 낙석발생,14061143.25,402,POINT(14061143.2498 3926876.3491000002),0
119,제주특별자치도 서귀포시 안덕면 사계리 3693번지일원,3693,,5013031025,2014.0,25.0,1000,0,5.0,0,3926876.349,,호우시 낙석발생,14061143.25,280,POINT(14061143.2498 3926876.3491000002),0
120,제주특별자치도 서귀포시 안덕면 사계리 3693번지일원,3693,,5013031025,2014.0,9.0,1000,0,7.0,0,3926876.349,,호우시 낙석발생,14061143.25,282,POINT(14061143.2498 3926876.3491000002),0
121,제주특별자치도 서귀포시 안덕면 사계리 3693번지일원,3693,,5013031025,2014.0,16.0,1000,0,7.0,0,3926876.349,,호우시 낙석발생,14061143.25,283,POINT(14061143.2498 3926876.3491000002),0
122,충청북도 괴산군 청천면 금평리 116-5,116,5,4376036033,2020.0,30.0,0,0,7.0,0,4394511.811,충청북도 괴산군 청천면 금평로 61,호우로 인한 반파,14221630.49,551,POINT(14221630.4943 4394511.8104999997),0
123,충청북도 영동군 상촌면 물한리 산 4-17,4,17,4374035027,2016.0,20.0,0,0,2.0,0,4313628.785,,자연붕괴,14235822.69,442,POINT(14235822.6851 4313628.7851999998),0
124,충청북도 영동군 영동읍 당곡리 161-1,161,1,4374025025,2012.0,17.0,0,0,9.0,0,4321363.315,,하천옆 도로붕괴,14229174.75,177,POINT(14229174.751599999 4321363.3147999998),0
125,충청북도 영동군 영동읍 동정리 71-1,71,1,4374025022,2015.0,21.0,0,0,4.0,0,4324630.261,,자연붕괴,14224894.9,415,POINT(14224894.8959 4324630.2605999997),0
126,충청북도 진천군 광혜원면 구암리 188,188,,4375037025,2015.0,30.0,26000,0,6.0,0,4436890.255,충청북도 진천군 광혜원면 구암길 225,국지성 집중호우로 인한 제방 붕괴,14183868.25,426,POINT(14183868.247400001 4436890.2550999997),0
